ZIP,geoid,index
90034,6037269500,2
90034,6037269601,3
90034,6037269602,4
90034,6037269700,5
90034,6037269800,6
90034,6037269903,7
90034,6037269904,8
90034,6037269905,9
90034,6037269906,10
90034,6037269907,11
90034,6037270100,12
90034,6037270200,13
90034,6037270300,14
90034,6037271100,15
90034,6037271701,16
90034,6037271702,17
90034,6037271801,18
90034,6037271802,19
90034,6037702400,20
90035,6037216401,1
90035,6037216402,2
90035,6037216700,3
90035,6037216800,4
90035,6037217001,5
90035,6037217002,6
90035,6037269000,7
90035,6037269100,8
90035,6037269500,9
90035,6037269601,10
90035,6037269602,11
90035,6037270300,12
90035,6037700902,13
90035,6037701000,14
90036,6037191902,1
90036,6037192001,2
90036,6037192002,3
90036,6037194401,4
90036,6037194500,5
90036,6037211000,6
90036,6037214000,7
90036,6037214100,8
90036,6037214400,9
90036,6037214501,10
90036,6037214502,11
90036,6037214503,12
90036,6037214600,13
90036,6037214700,14
90036,6037215101,15
90036,6037215102,16
90036,6037216100,17
90036,6037216200,18
90036,6037216300,19
90036,6037216900,20
90037,6037222700,1
90037,6037228420,2
90037,6037228500,3
90037,6037229300,4
90037,6037229410,5
90037,6037231100,6
90037,6037231210,7
90037,6037231220,8
90037,6037231300,9
90037,6037231600,10
90037,6037231710,11
90037,6037231720,12
90037,6037231800,13
90037,6037231900,14
90037,6037232110,15
90037,6037232120,16
90037,6037232200,17
90037,6037232300,18
90037,6037232600,19
90037,6037232700,20
90037,6037232800,21
90038,6037190801,1
90038,6037190802,2
90038,6037190901,3
90038,6037190902,4
90038,6037191710,5
90038,6037191720,6
90038,6037191810,7
90038,6037191820,8
90038,6037191901,9
90038,6037191902,10
90038,6037192001,11
90038,6037192300,12
90038,6037192410,13
90038,6037192420,14
90038,6037700101,15
90038,6037700102,16
90039,6037187101,1
90039,6037187102,2
90039,6037187200,3
90039,6037187300,4
90039,6037188100,5
90039,6037188201,6
90039,6037188300,7
90039,6037195100,8
90039,6037195400,9
90039,6037195500,10
90039,6037197410,11
90039,6037197420,12
90039,6037302401,13
90040,6037531302,1
90040,6037532001,2
90040,6037532200,3
90040,6037532302,4
90040,6037532303,5
90040,6037532304,6
90040,6037533703,7
90040,6037533901,8
90040,6037533902,9
90040,6037534001,10
90040,6037534002,11
90041,6037181000,1
90041,6037181300,2
90041,6037181400,3
90041,6037181500,4
90041,6037181600,5
90041,6037183222,6
90041,6037183402,7
90041,6037186100,8
90041,6037186201,9
90041,6037186202,10
90041,6037300902,11
90041,6037302104,12
90042,6037181500,1
90042,6037181600,2
90042,6037183101,3
90042,6037183103,4
90042,6037183104,5
90042,6037183220,6
90042,6037183221,7
90042,6037183222,8
90042,6037183300,9
90042,6037183401,10
90042,6037183402,11
90042,6037183510,12
90042,6037183520,13
90042,6037183610,14
90042,6037183620,15
90042,6037183701,16
90042,6037183702,17
90042,6037183810,18
90042,6037183820,19
90042,6037185100,20
90042,6037186201,21
90042,6037186203,22
90042,6037199300,23
90042,6037201302,24
90042,6037463800,25
90043,6037234501,1
90043,6037234502,2
90043,6037234600,3
90043,6037234700,4
90043,6037234800,5
90043,6037234901,6
90043,6037234902,7
90043,6037235100,8
90043,6037235201,9
90043,6037235202,10
90043,6037600802,11
90043,6037600911,12
90043,6037703100,13
90043,6037703200,14
90044,6037232600,1
90044,6037232700,2
90044,6037237101,3
90044,6037237102,4
90044,6037237201,5
90044,6037237401,6
90044,6037237402,7
90044,6037237500,8
90044,6037237600,9
90044,6037237710,10
90044,6037237720,11
90044,6037237800,12
90044,6037238000,13
90044,6037238200,14
90044,6037238310,15
90044,6037238320,16
90044,6037238400,17
90044,6037240300,18
90044,6037240401,19
90044,6037240402,20
90044,6037241201,21
90044,6037241202,22
90044,6037241300,23
90044,6037291110,24
90044,6037600100,25
90044,6037600201,26
90044,6037600202,27
90044,6037600302,28
90044,6037600303,29
90044,6037600304,30
90044,6037602801,31
90044,6037602802,32
90045,6037276000,1
90045,6037276100,2
90045,6037276400,3
90045,6037276500,4
90045,6037276601,5
90045,6037276604,6
90045,6037277000,7
90045,6037277100,8
90045,6037277200,9
90045,6037277400,10
90045,6037278001,11
90045,6037601302,12
90045,6037601401,13
90045,6037602200,14
90045,6037703001,15
90045,6037703002,16
90045,6037980028,17
90046,6037143700,1
90046,6037143800,2
90046,6037143901,3
90046,6037189800,4
90046,6037189902,5
90046,6037189903,6
90046,6037189904,7
90046,6037189905,8
90046,6037190100,9
90046,6037192001,10
90046,6037192002,11
90046,6037194101,12
90046,6037194102,13
90046,6037194200,14
90046,6037194300,15
90046,6037194401,16
90046,6037194402,17
90046,6037261101,18
90046,6037700101,19
90046,6037700102,20
90046,6037700200,21
90046,6037700300,22
90047,6037232500,1
90047,6037234700,2
90047,6037234800,3
90047,6037235201,4
90047,6037237201,5
90047,6037237202,6
90047,6037237300,7
90047,6037237402,8
90047,6037237800,9
90047,6037237900,10
90047,6037238000,11
90047,6037238100,12
90047,6037238200,13
90047,6037238400,14
90047,6037600201,15
90047,6037600202,16
90047,6037600302,17
90047,6037600400,18
90047,6037600601,19
90047,6037602700,20
90047,6037602801,21
90047,6037602802,22
90048,6037194401,1
90048,6037194402,2
90048,6037194500,3
90048,6037214501,4
90048,6037214600,5
90048,6037214700,6
90048,6037214800,7
90048,6037214901,8
90048,6037214902,9
90048,6037216300,10
90048,6037216800,11
90048,6037700400,12
90048,6037700802,13
90049,6037139702,1
90049,6037141500,2
90049,6037262200,3
90049,6037262301,4
90049,6037262302,5
90049,6037262303,6
90049,6037262400,7
90049,6037262802,8
90049,6037264000,9
90049,6037264102,10
90049,6037264103,11
90049,6037264301,12
90049,6037264302,13
90049,6037265410,14
90049,6037265420,15
90049,6037701100,16
