geoid,geoid2,TotalPopulation,Ozone,PM25,DieselPM,DrinkingWater,Lead,Pesticides,ToxRelease,Traffic,CleanupSites,GroundwaterThreats,HazWaste,ImpWaterBodies,SolidWaste,Asthma,LowBirthWeight,CardiovascularDisease,Education,LinguisticIsolation,Poverty,Unemployment,HousingBurden,Children10years,Pop1064years,Elderly64years,Hispanic,White,AfricanAmerican,NativeAmerican,AsianAmerican,OtherMultiple,well_count,median_rent
1400000US06037555104,6037555104,4210,.0438112,11.69434748,.085744747,418.2446187,53.72429577,0,3817.466594,920.1677208,1,11,.245,7,.4,28.81,5.83,9.67,14.3,17.9,35.1,9.699999999999999,23.4,15.01,73.59,11.4,54.89,17.6,7.1,.29,17.91,2.21,0,1331
1400000US06037555202,6037555202,3661,.04320513,11.66766832,.552942212,498.0236467,23.37297571,0,4340.049968,1750.020504,0,18.5,.33,14,0,21.45,6.28,8.289999999999999,5.7,.8,12.3,2.6,3.3,11.66,71.95,16.39,16.77,62.09,2.54,0,9.48,9.119999999999999,0,1420
1400000US06037555211,6037555211,5652,.04320513,11.67866576,.621604597,457.2934853,79.87817397000001,0,4175.133341,2176.64946,1,15.75,.36,14,0,53.8,3.87,19.6,42,33.9,48.9,6.1,36.4,12.07,76.91,11.02,90.15000000000001,1.7,.07,0,7.89,.19,1,1181
1400000US06037555212,6037555212,5110,.0438112,11.68002345,.100159984,418.2446187,71.11622584,0,4026.210002,924.8748639,1,13.75,.225,7,0,47.02,5.15,17.18,44.3,22.3,47.3,3.8,30,19.06,72.05,8.880000000000001,81.78,5.6,2.99,0,6.71,2.92,0,1316
1400000US06037570001,6037570001,4764,.0438112,11.74267889,.07519474,469.8643275,70.05778845,2.40897528,4737.589966,665.7146121,0,3,.435,4,0,28.05,3.67,11.44,8.6,1.2,18.6,10.1,15.8,13.12,73.97,12.91,29.58,32.09,7.37,.25,25.48,5.23,0,1298
1400000US06037570002,6037570002,2679,.04320513,11.7740438,.05216692,461.8326686,65.95716006000001,4.338078969,5148.490072,754.3845446,0,3,.03,0,0,98.79000000000001,4.57,11.27,8.6,1.9,23.9,4.3,14.9,12.13,74.73,13.14,30.24,39.72,11.5,.3,15.94,2.31,0,1292
1400000US06037570003,6037570003,4119,.04320513,11.84858192,.179483681,459.9571987,78.01232066999999,3.954138322,5587.649943,854.1377995,0,11.2,.21,0,0,127.45,3.25,13.38,6.4,2.9,10.4,4.5,8,12.84,72.59,14.57,40.71,34.79,6.94,0,16.05,1.51,0,2081
1400000US06037570100,6037570100,3192,.04259906,11.95400971,.144217111,447.6503084,65.10966159,1.563087248,6607.433268,860.6906192,7,78.35,1.815,0,5.25,90.76000000000001,7.69,19.26,21.2,2.8,34.7,9.9,18.9,11.28,75.81,12.91,45.49,15.38,20.55,0,17.54,1.03,0,1575
1400000US06037570202,6037570202,6124,.04320513,12.19282827,.576754883,339.0441176,82.50547333,19.66195553,8473.469806999999,2371.319143,11.4,26.3,4.065,7,2.25,63.41,7.21,14.42,29,8.1,40.2,9.699999999999999,21.2,16.51,74.41,9.08,65.43000000000001,6.91,14.66,.54,11.69,.77,0,1140
1400000US06037570203,6037570203,4165,.04320513,12.07684795,.572045752,339.0441176,71.89605075999999,0,7182.133547,2820.212253,3.45,83.1,8.09,7,5,68.25,7.13,15.3,33.2,12,66.2,9.300000000000001,28,19.88,74,6.12,67.47,3.19,23.91,0,4.56,.86,0,1128
